[DATE]
"Jul 16, 2014","Jul 17, 2014"
[END]
[GROUPS]
4,Grading & Building Permits
5,Site Work
6,Foundation
7,Rough Carpentry
8,Concrete Slabs
9,H.V.A.C.
10,Plumbing Rough-in
13,Electric Rough-in
14,Specialty Rough-ins
18,Roofing
19,Exterior Finishes
20,Insulation
23,Drywall
25,Floor Finishes
26,Paint
28,Interior Trim
29,H.V.A.C. Trim
30,Plumbing Trim
32,Exterior Landscaping
33,Electrical Final Trim
34,Hardware
42,Final Punch-out
43,Cleaning
[END]
[NODES]
28,4.2,Stake lot,1,Begin
35,4.9,Install Sediment Controls,2,28
36,4.1,Sediment Control Insp.,1,35

43,5.1,Clear Lot,3,36
44,5.2,Strip Topsoil & Stockpile,1,43
45,5.3,Stake Lot for Excavation,1,44
46,5.4,Rough grade lot,1,45
47,5.5,Excavate for foundation,2,46

49,6.1,Layout footings,1,47
50,6.2,Dig Footings & Install Reinforcing,1,49
51,6.3,Footing Inspection,0,50
52,6.4,Pour footings,1,51
53,6.5,Pin Footings,1,52
54,6.6,"Stock Block, Mortar, Sand",1,53
55,6.7,Build Block Foundation,15,"53,54"

65,7.2,1st Floor Deck Framing,4,55
66,7.3,1st Floor Wall Framing,4,65
68,7.6,2nd Floor Deck Framing,2,66
70,7.7,2nd Floor Wall Framing,3,68
71,7.8,Set Roof Trusses,2,70
72,7.9,Frame Roof,7,71
73,7.1,Install Roof Plywood,5,72
74,7.11,Install Windows & Doors,2,"73,111"
75,7.12,Frame Basement,3,"72,81"
76,7.13,Frame Basement Bulkheads,2,"75,87,93"

78,8.1,Basement Slab Preparation,2,"65,91"
79,8.2,Termite Treatment Basment Slab,1,78
80,8.3,Slab Inspection,1,79
81,8.4,Pour Basement Slab,1,80
82,8.5,Prep Garage Slab,1,81
83,8.6,Termite Treatment Garage Slab,1,82
84,8.7,Pour Garage Slab,1,83

86,9.1,HVAC Layout & Measure,1,72
87,9.2,HVAC Rough-in,5,86
88,9.3,HVAC Set Indoor Units,2,"81,87"

91,10.1,Plumbing Sub-slab,2,65
92,10.1,Plumbing Layout,1,"91,87"
93,10.3,Plumbing rough-in,5,92

94,11,County Plumbing Sub-slab Inspection,0,91

95,12,County Plumbing Rough-in Inspection,0,"93,94"

97,13.1,Set Electric Boxes,2,74
98,13.1,Install Electric Service Panel,2,97
99,13.3,Electrical Walk-through,1,98
100,13.4,Electrical Rough-wire,12,99

102,14.1,Central Vacuum Rough-in,5,100

109,17,County Framing Inspection,0,95

111,18.1,Roofing Paper Installed,3,73
113,18.3,Stock Roof Shingles,1,111
114,18.3,Install Roof Shingles,7,"113,119"

116,19.1,Siding,3,74
117,19.1,Exterior Trim,7,116
118,19.3,Brick Arch Forms,1,117
119,19.3,Brick Veneer,44,118

121,20.1,Caulk & Air Seal,1,109
122,20.1,Draft & Fire Stop,1,121
123,20.3,Batt Insulation,3,"121,122"

124,21,County Insulation Inspection,0,123

125,22,BGE Energy Wise Inspection,0,124

127,23.1,Stock Drywall,1,125
128,23.1,Hang Drywall,5,127
129,23.3,Remove Scrap Drywall,1,128
130,23.3,Tape and Finish Drywall,15,"128,129"
131,23.5,Sand Drywall,1,130
132,23.6,Drywall Point-up,3,131

135,25.1,Ceramic Tile,15,146
136,25.1,Install Hardwood Floor,4,146
137,25.3,"Sand, Stain, Seal Hardwood",5,136
138,25.3,Install Carpet,4,146
139,25.5,Final Coat Hardwood,2,137

141,26.1,Prep Drywall for Prime Coat,2,131
142,26.1,Prime Paint Drywall,2,141
143,26.3,Prep Trim for Prime Coat,2,"142,151"
144,26.3,Prime Trim,2,143
145,26.5,Finish Coat Trim,10,144
146,26.6,Finish Coat Drywall,14,"145,132"
147,26.6,Caulk Exterior Windows & Doors,1,"146,117"
148,26.8,Finish Coat Exterior Trim & Siding,1,147

151,28.1,Interior Trim Delivery,1,142
152,28.1,Install Interior Doors,5,151
153,28.3,Install Interior Trim,15,152
154,28.3,Install Cabinetry,5,153
155,28.5,Install Appliances,1,154

158,29.1,Install Grills & Registers for Paint,1,131
159,29.1,Set Outdoor Units,1,165

161,30.1,Set Fixtures,4,"135,136,154"
162,30.1,Connect Appliances,1,161

165,32.1,Rough Final Grade,1,119
166,32.2,Patios,7,165
167,32.2,Porches,5,166
168,32.3,Sidewalks,7,167
169,32.5,Decks,7,168
170,32.6,Driveways,2,"165,169"
171,32.7,Final Grade and Seed,3,170

173,33.1,Switch & Plug,2,"142,100"
174,33.2,Install Fixtures,1,146
175,33.2,Connect Appliances,1,"155,162"

177,34.1,Door Hardware,2,146
178,34.2,Bath Hardware,2,177
179,34.2,Mirrors,5,178
180,34.3,Shower Doors,9,179

184,38,Final Building Inspection,0,180

189,42.1,Punch Out Walk-thru List,4,184
190,42.2,Trim and Adjust Doors,2,189
191,42.2,Paint Touch-up,3,190

193,43.1,Windows,3,146
194,43.2,Rough Clean,3,193
195,43.2,Final Clean,2,194

196,44,Final Walk-through,0,"191,195"

197,45,Move-in,0,"175,173,171,159,158,148,139,138,132,114,102,88,84,76,196"
[END]
